age,workclass,native_country,marital_status,education_num,occupation,race,hours_per_week,income_bracket,dataframe
52, Private, United-States, Married-civ-spouse,6, Other-service, White,35, <=50K,training
24, Private, United-States, Married-civ-spouse,6, Machine-op-inspct, White,40, <=50K,training
28, Private, Guatemala, Married-civ-spouse,6, Craft-repair, Other,48, <=50K,training
57, ?, United-States, Married-civ-spouse,6, ?, White,40, <=50K,training
29, Private, United-States, Married-civ-spouse,6, Farming-fishing, White,40, <=50K,training
37, Self-emp-not-inc, United-States, Married-civ-spouse,6, Other-service, White,40, <=50K,training
32, Private, United-States, Married-civ-spouse,6, Exec-managerial, White,35, <=50K,training
47, ?, Cuba, Married-civ-spouse,6, ?, White,20, <=50K,training
32, ?, United-States, Married-civ-spouse,6, ?, White,40, <=50K,training
81, Self-emp-inc, United-States, Married-civ-spouse,6, Exec-managerial, White,28, <=50K,training
55, Private, United-States, Married-civ-spouse,6, Other-service, Black,40, <=50K,training
58, Self-emp-not-inc, ?, Married-civ-spouse,6, Craft-repair, White,35, >50K,training
56, Private, Japan, Married-civ-spouse,6, Sales, Asian-Pac-Islander,30, >50K,training
48, ?, United-States, Married-civ-spouse,6, ?, Black,35, <=50K,training
59, Self-emp-not-inc, United-States, Married-civ-spouse,6, Exec-managerial, White,36, <=50K,training
22, Private, United-States, Married-civ-spouse,6, Sales, White,40, <=50K,training
25, Private, United-States, Married-civ-spouse,6, Other-service, White,40, <=50K,training
28, Federal-gov, United-States, Married-civ-spouse,6, Other-service, Amer-Indian-Eskimo,40, <=50K,training
34, ?, United-States, Married-civ-spouse,7, ?, White,8, <=50K,prediction
45, Private, United-States, Married-civ-spouse,7, Other-service, White,32, <=50K,training
42, Private, United-States, Married-civ-spouse,7, Other-service, White,40, <=50K,training
47, Private, United-States, Married-civ-spouse,7, Machine-op-inspct, Black,40, <=50K,prediction
32, Private, United-States, Married-civ-spouse,7, Machine-op-inspct, White,40, <=50K,training
59, Private, United-States, Married-civ-spouse,7, Other-service, White,28, <=50K,training
60, Private, Hong, Married-civ-spouse,7, Machine-op-inspct, Asian-Pac-Islander,30, <=50K,training
43, Private, United-States, Married-civ-spouse,7, Handlers-cleaners, White,25, <=50K,prediction
54, Private, United-States, Married-civ-spouse,7, Other-service, White,43, <=50K,prediction
21, ?, United-States, Married-civ-spouse,7, ?, White,40, <=50K,training
49, Private, United-States, Married-civ-spouse,7, Other-service, White,6, <=50K,training
19, ?, Laos, Married-civ-spouse,7, ?, Asian-Pac-Islander,40, <=50K,evaluation
56, Self-emp-not-inc, United-States, Married-civ-spouse,7, Other-service, White,40, <=50K,training
44, Private, United-States, Married-civ-spouse,7, Prof-specialty, White,36, >50K,prediction
35, Private, United-States, Married-civ-spouse,7, Sales, White,40, <=50K,training
48, Private, United-States, Married-civ-spouse,7, Other-service, White,40, <=50K,training
28, Private, Mexico, Married-civ-spouse,7, Adm-clerical, White,40, <=50K,training
38, Private, United-States, Married-civ-spouse,7, Adm-clerical, White,32, <=50K,prediction
24, ?, United-States, Married-civ-spouse,7, ?, Other,24, <=50K,training
45, Local-gov, United-States, Married-civ-spouse,7, Other-service, White,25, <=50K,training
46, Private, United-States, Married-civ-spouse,7, Other-service, Black,35, >50K,training
29, Self-emp-not-inc, United-States, Married-civ-spouse,7, Other-service, White,5, <=50K,training
49, Private, United-States, Married-civ-spouse,7, Sales, White,40, <=50K,training
32, Private, United-States, Married-civ-spouse,7, Other-service, White,60, <=50K,prediction
22, Private, United-States, Married-civ-spouse,7, Adm-clerical, White,20, <=50K,training
45, Private, United-States, Married-civ-spouse,7, Other-service, White,36, <=50K,training
29, Private, Philippines, Married-civ-spouse,7, Handlers-cleaners, Asian-Pac-Islander,14, <=50K,evaluation
21, ?, United-States, Married-civ-spouse,7, ?, White,56, <=50K,evaluation
30, Private, United-States, Married-civ-spouse,7, Other-service, Black,30, <=50K,training
54, Private, United-States, Married-civ-spouse,7, Other-service, Black,40, >50K,prediction
25, Private, United-States, Married-civ-spouse,8, Other-service, White,40, <=50K,evaluation
35, Private, United-States, Married-civ-spouse,8, Craft-repair, White,50, <=50K,training
41, Private, United-States, Married-civ-spouse,8, Other-service, White,10, <=50K,prediction
58, Private, United-States, Married-civ-spouse,8, Other-service, White,24, <=50K,training
37, Private, ?, Married-civ-spouse,8, Sales, Asian-Pac-Islander,33, <=50K,training
31, State-gov, United-States, Married-civ-spouse,8, Other-service, White,40, <=50K,training
53, Private, United-States, Married-civ-spouse,8, Adm-clerical, White,40, <=50K,training
61, Private, United-States, Married-civ-spouse,8, Other-service, White,40, <=50K,training
31, State-gov, United-States, Married-civ-spouse,8, Tech-support, White,40, >50K,training
21, Self-emp-not-inc, Portugal, Married-civ-spouse,8, Adm-clerical, White,30, <=50K,training
26, Private, Dominican-Republic, Married-civ-spouse,8, Priv-house-serv, Other,40, <=50K,training
31, Self-emp-not-inc, ?, Married-civ-spouse,8, Sales, Asian-Pac-Islander,50, <=50K,training
33, Private, United-States, Married-civ-spouse,8, Adm-clerical, White,40, <=50K,training
28, ?, Germany, Married-civ-spouse,8, ?, White,20, <=50K,training
45, Private, United-States, Married-civ-spouse,8, Adm-clerical, Black,40, >50K,evaluation
30, Local-gov, United-States, Married-civ-spouse,8, Adm-clerical, White,40, <=50K,training
53, ?, Italy, Married-civ-spouse,8, ?, White,40, <=50K,training
52, ?, United-States, Married-civ-spouse,8, ?, Black,40, >50K,training
45, Private, El-Salvador, Married-civ-spouse,2, Other-service, White,25, <=50K,training
45, Private, United-States, Married-civ-spouse,2, Other-service, White,40, <=50K,training
44, Private, Vietnam, Married-civ-spouse,2, Other-service, Asian-Pac-Islander,40, <=50K,evaluation
23, Private, Mexico, Married-civ-spouse,2, Machine-op-inspct, Amer-Indian-Eskimo,35, <=50K,training
42, Private, Mexico, Married-civ-spouse,3, Machine-op-inspct, White,38, <=50K,evaluation
43, Private, Vietnam, Married-civ-spouse,3, Machine-op-inspct, Asian-Pac-Islander,40, >50K,training
46, Private, Italy, Married-civ-spouse,3, Craft-repair, White,45, <=50K,training
22, ?, Mexico, Married-civ-spouse,3, ?, Other,40, <=50K,training
43, Private, ?, Married-civ-spouse,3, Machine-op-inspct, Asian-Pac-Islander,72, <=50K,training
41, Private, Mexico, Married-civ-spouse,3, Farming-fishing, White,40, <=50K,training
53, Private, Haiti, Married-civ-spouse,3, Priv-house-serv, Black,10, <=50K,training
27, ?, Mexico, Married-civ-spouse,3, ?, White,40, <=50K,training
29, ?, United-States, Married-civ-spouse,3, ?, White,40, <=50K,training
46, ?, Mexico, Married-civ-spouse,3, ?, White,40, <=50K,training
50, Private, Philippines, Married-civ-spouse,3, Machine-op-inspct, Asian-Pac-Islander,35, <=50K,evaluation
32, Private, Laos, Married-civ-spouse,3, Machine-op-inspct, Asian-Pac-Islander,40, >50K,training
52, Private, El-Salvador, Married-civ-spouse,3, Sales, White,15, <=50K,training
35, Self-emp-not-inc, Mexico, Married-civ-spouse,3, Other-service, White,15, <=50K,training
47, Private, United-States, Married-civ-spouse,4, Machine-op-inspct, Black,35, <=50K,training
38, Private, Canada, Married-civ-spouse,4, Machine-op-inspct, White,50, >50K,training
46, Private, United-States, Married-civ-spouse,4, Prof-specialty, White,45, <=50K,training
49, Private, Hong, Married-civ-spouse,4, Machine-op-inspct, White,40, <=50K,training
34, Private, United-States, Married-civ-spouse,4, Other-service, White,40, <=50K,training
56, Private, United-States, Married-civ-spouse,4, Machine-op-inspct, White,45, <=50K,prediction
29, Private, Mexico, Married-civ-spouse,4, Other-service, White,40, <=50K,evaluation
29, Private, United-States, Married-civ-spouse,4, Other-service, White,40, <=50K,training
47, Private, Puerto-Rico, Married-civ-spouse,4, Machine-op-inspct, Other,40, <=50K,training
59, Private, United-States, Married-civ-spouse,4, Other-service, White,99, <=50K,evaluation
60, Private, United-States, Married-civ-spouse,4, Machine-op-inspct, White,40, <=50K,training
52, Private, United-States, Married-civ-spouse,4, Exec-managerial, White,50, <=50K,prediction
42, Self-emp-not-inc, United-States, Married-civ-spouse,4, Other-service, Black,50, <=50K,training
27, Private, United-States, Married-civ-spouse,4, Other-service, White,40, <=50K,evaluation
60, Private, United-States, Married-civ-spouse,4, Machine-op-inspct, White,40, <=50K,training
44, Private, United-States, Married-civ-spouse,4, Other-service, White,55, <=50K,training
57, ?, Puerto-Rico, Married-civ-spouse,4, ?, White,45, <=50K,training
50, Private, ?, Married-civ-spouse,4, Other-service, White,35, <=50K,training
44, Private, Dominican-Republic, Married-civ-spouse,4, Machine-op-inspct, White,40, <=50K,training
64, State-gov, United-States, Married-civ-spouse,4, Other-service, Black,40, <=50K,training
19, Private, United-States, Married-AF-spouse,9, Adm-clerical, White,25, <=50K,training
53, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
46, Private, United-States, Married-civ-spouse,9, Other-service, White,40, <=50K,evaluation
30, Private, ?, Married-civ-spouse,9, Sales, Asian-Pac-Islander,35, <=50K,training
58, Self-emp-inc, United-States, Married-civ-spouse,9, Sales, White,35, >50K,training
41, Self-emp-not-inc, United-States, Married-civ-spouse,9, Other-service, White,20, <=50K,training
33, Private, United-States, Married-civ-spouse,9, Craft-repair, White,40, >50K,training
42, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,35, <=50K,prediction
33, Private, United-States, Married-civ-spouse,9, Craft-repair, White,40, <=50K,training
35, Private, United-States, Married-civ-spouse,9, Other-service, White,40, >50K,evaluation
44, Self-emp-not-inc, United-States, Married-civ-spouse,9, Sales, White,40, >50K,training
30, Private, United-States, Married-civ-spouse,9, Exec-managerial, White,40, <=50K,training
37, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,60, <=50K,evaluation
35, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, Black,40, <=50K,evaluation
34, Private, United-States, Married-civ-spouse,9, Tech-support, White,32, <=50K,training
55, ?, United-States, Married-civ-spouse,9, ?, Asian-Pac-Islander,40, <=50K,evaluation
44, Private, United-States, Married-civ-spouse,9, Sales, White,40, <=50K,training
46, Federal-gov, United-States, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
59, Local-gov, United-States, Married-civ-spouse,9, Adm-clerical, White,38, >50K,training
47, Self-emp-not-inc, Italy, Married-civ-spouse,9, Other-service, White,75, <=50K,evaluation
23, Private, Mexico, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,training
44, State-gov, United-States, Married-civ-spouse,9, Prof-specialty, White,40, >50K,training
38, State-gov, United-States, Married-civ-spouse,9, Prof-specialty, White,40, >50K,training
29, Self-emp-inc, United-States, Married-civ-spouse,9, Sales, White,25, >50K,prediction
69, Private, United-States, Married-civ-spouse,9, Sales, White,40, <=50K,prediction
34, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,training
50, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
49, Private, United-States, Married-civ-spouse,9, Craft-repair, White,40, >50K,training
49, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, Black,40, <=50K,training
33, Local-gov, United-States, Married-civ-spouse,9, Adm-clerical, White,60, <=50K,prediction
45, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, White,40, <=50K,training
71, Self-emp-inc, United-States, Married-civ-spouse,9, Adm-clerical, White,20, >50K,training
50, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, White,40, <=50K,training
53, State-gov, United-States, Married-civ-spouse,9, Exec-managerial, White,40, >50K,training
49, Private, United-States, Married-civ-spouse,9, Exec-managerial, White,43, <=50K,training
49, Private, United-States, Married-civ-spouse,9, Other-service, Black,40, >50K,evaluation
44, Self-emp-not-inc, Italy, Married-civ-spouse,9, Prof-specialty, White,40, >50K,training
46, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
28, ?, Honduras, Married-civ-spouse,9, ?, White,17, <=50K,training
31, Federal-gov, United-States, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
42, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,53, <=50K,training
44, Local-gov, Jamaica, Married-civ-spouse,9, Other-service, Black,38, >50K,evaluation
47, ?, United-States, Married-civ-spouse,9, ?, White,8, >50K,training
47, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, Black,40, >50K,evaluation
60, Private, United-States, Married-civ-spouse,9, Tech-support, White,40, >50K,training
24, Self-emp-not-inc, United-States, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,training
39, Self-emp-not-inc, Dominican-Republic, Married-civ-spouse,9, Sales, Black,54, >50K,training
28, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,training
40, Private, United-States, Married-civ-spouse,9, Sales, White,20, <=50K,training
38, Private, United-States, Married-civ-spouse,9, Exec-managerial, White,55, <=50K,training
54, Self-emp-not-inc, United-States, Married-civ-spouse,9, Sales, White,30, <=50K,evaluation
19, Federal-gov, United-States, Married-AF-spouse,9, Sales, White,40, <=50K,prediction
22, ?, United-States, Married-civ-spouse,9, ?, White,22, <=50K,evaluation
44, Self-emp-inc, United-States, Married-civ-spouse,9, Sales, White,60, <=50K,training
26, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
53, Local-gov, United-States, Married-civ-spouse,9, Exec-managerial, White,50, >50K,training
39, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, White,40, >50K,evaluation
64, Self-emp-inc, ?, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
21, ?, United-States, Married-civ-spouse,9, ?, Black,30, <=50K,prediction
33, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,35, >50K,prediction
31, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,evaluation
47, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, Black,40, >50K,training
35, Private, United-States, Married-civ-spouse,9, Other-service, White,16, >50K,training
61, Self-emp-not-inc, United-States, Married-civ-spouse,9, Farming-fishing, White,40, <=50K,training
59, ?, United-States, Married-civ-spouse,9, ?, White,40, >50K,training
45, Self-emp-inc, United-States, Married-civ-spouse,9, Sales, White,50, <=50K,training
44, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,38, <=50K,training
39, Private, United-States, Married-civ-spouse,9, Sales, White,36, <=50K,training
70, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,5, <=50K,training
50, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
44, Private, United-States, Married-civ-spouse,9, Sales, White,40, >50K,prediction
46, Private, United-States, Married-civ-spouse,9, Sales, White,40, >50K,evaluation
41, Private, United-States, Married-civ-spouse,9, Transport-moving, White,20, <=50K,training
36, Self-emp-not-inc, South, Married-civ-spouse,9, Other-service, Asian-Pac-Islander,20, <=50K,training
26, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, White,56, <=50K,training
36, Private, United-States, Married-civ-spouse,9, Farming-fishing, White,40, <=50K,training
53, Private, United-States, Married-civ-spouse,9, Adm-clerical, Black,32, <=50K,training
25, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,30, <=50K,prediction
46, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,training
43, Private, Trinadad&Tobago, Married-civ-spouse,9, Machine-op-inspct, Black,21, <=50K,training
35, ?, United-States, Married-civ-spouse,9, ?, White,12, <=50K,training
37, Local-gov, United-States, Married-civ-spouse,9, Other-service, White,25, <=50K,training
43, Private, Portugal, Married-civ-spouse,9, Exec-managerial, White,36, >50K,training
41, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,training
26, Private, United-States, Married-civ-spouse,9, Exec-managerial, White,40, <=50K,training
55, Private, United-States, Married-civ-spouse,9, Priv-house-serv, White,30, <=50K,training
36, Self-emp-not-inc, United-States, Married-civ-spouse,9, Sales, White,40, >50K,training
49, Self-emp-inc, United-States, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
49, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,30, <=50K,training
32, Private, United-States, Married-civ-spouse,9, Adm-clerical, Black,40, <=50K,training
32, ?, United-States, Married-civ-spouse,9, ?, White,2, >50K,training
51, Private, United-States, Married-civ-spouse,9, Adm-clerical, Black,38, <=50K,training
50, Local-gov, United-States, Married-civ-spouse,9, Exec-managerial, Black,40, >50K,evaluation
33, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,25, <=50K,training
24, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,training
31, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, White,55, <=50K,training
54, Local-gov, United-States, Married-civ-spouse,9, Other-service, White,35, <=50K,evaluation
39, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, >50K,evaluation
41, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
32, Private, United-States, Married-civ-spouse,9, Exec-managerial, White,40, <=50K,training
32, Local-gov, United-States, Married-civ-spouse,9, Transport-moving, White,22, <=50K,training
42, Private, United-States, Married-civ-spouse,9, Exec-managerial, White,40, <=50K,training
63, Private, United-States, Married-civ-spouse,9, Transport-moving, Asian-Pac-Islander,20, <=50K,training
37, Private, United-States, Married-civ-spouse,9, Other-service, White,30, >50K,training
29, Private, United-States, Married-civ-spouse,9, Other-service, White,40, <=50K,training
24, Private, United-States, Married-civ-spouse,9, Craft-repair, White,36, <=50K,training
61, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,5, <=50K,training
33, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,52, <=50K,evaluation
38, Private, United-States, Married-civ-spouse,9, Prof-specialty, White,40, <=50K,evaluation
42, Private, United-States, Married-civ-spouse,9, Exec-managerial, White,40, >50K,training
46, Private, United-States, Married-civ-spouse,9, Sales, White,40, <=50K,training
40, Private, United-States, Married-civ-spouse,9, Exec-managerial, White,35, >50K,training
58, Private, Greece, Married-civ-spouse,9, Sales, White,40, <=50K,training
55, Private, United-States, Married-civ-spouse,9, Exec-managerial, White,30, >50K,evaluation
38, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, White,40, <=50K,training
47, Private, United-States, Married-civ-spouse,9, Exec-managerial, White,40, >50K,prediction
35, Private, United-States, Married-civ-spouse,9, Other-service, White,38, <=50K,training
58, Self-emp-inc, United-States, Married-civ-spouse,9, Exec-managerial, White,20, >50K,training
20, Private, Mexico, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,training
63, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,training
20, Private, Peru, Married-civ-spouse,9, Other-service, White,40, <=50K,evaluation
24, Private, United-States, Married-civ-spouse,9, Adm-clerical, Black,40, <=50K,prediction
67, Self-emp-not-inc, United-States, Married-civ-spouse,9, Adm-clerical, White,2, <=50K,training
48, Private, United-States, Married-civ-spouse,9, Prof-specialty, White,8, <=50K,training
44, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,30, <=50K,training
37, Private, United-States, Married-civ-spouse,9, Handlers-cleaners, White,40, >50K,training
40, Private, United-States, Married-civ-spouse,9, Other-service, White,12, <=50K,training
35, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, Black,35, <=50K,evaluation
29, Private, United-States, Married-civ-spouse,9, Sales, White,40, >50K,training
27, Private, Dominican-Republic, Married-civ-spouse,9, Machine-op-inspct, White,40, <=50K,training
66, ?, United-States, Married-civ-spouse,9, ?, White,20, <=50K,evaluation
49, Private, Philippines, Married-civ-spouse,9, Other-service, Asian-Pac-Islander,8, <=50K,training
32, Private, United-States, Married-civ-spouse,9, Farming-fishing, White,40, <=50K,training
47, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,20, >50K,training
29, Local-gov, United-States, Married-civ-spouse,9, Other-service, White,40, <=50K,prediction
54, Private, United-States, Married-civ-spouse,9, Other-service, White,35, <=50K,training
25, Private, Mexico, Married-civ-spouse,9, Other-service, White,25, <=50K,training
39, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
29, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,20, <=50K,training
24, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, White,40, <=50K,training
41, Private, ?, Married-civ-spouse,9, Machine-op-inspct, Black,40, <=50K,evaluation
40, ?, United-States, Married-civ-spouse,9, ?, Black,20, <=50K,training
47, Self-emp-not-inc, United-States, Married-civ-spouse,9, Machine-op-inspct, White,20, >50K,training
51, Local-gov, United-States, Married-civ-spouse,9, Exec-managerial, White,32, <=50K,training
23, Private, United-States, Married-civ-spouse,9, Sales, White,40, <=50K,training
39, Private, United-States, Married-civ-spouse,9, Craft-repair, Black,45, <=50K,prediction
29, Private, United-States, Married-civ-spouse,9, Sales, White,18, <=50K,training
57, Private, United-States, Married-civ-spouse,9, Exec-managerial, White,38, <=50K,training
61, Private, United-States, Married-civ-spouse,9, Adm-clerical, Black,40, <=50K,training
46, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, >50K,prediction
32, Private, United-States, Married-civ-spouse,9, Exec-managerial, White,48, <=50K,training
57, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,prediction
42, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,training
37, Private, United-States, Married-civ-spouse,9, Other-service, White,20, <=50K,training
36, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
24, Private, United-States, Married-civ-spouse,9, Other-service, White,30, <=50K,training
29, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,training
47, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, White,40, <=50K,training
53, Federal-gov, United-States, Married-civ-spouse,9, Adm-clerical, White,35, >50K,evaluation
29, ?, United-States, Married-civ-spouse,9, ?, White,40, <=50K,training
34, Private, United-States, Married-civ-spouse,9, Other-service, White,40, >50K,training
19, Private, United-States, Married-civ-spouse,9, Other-service, Black,16, <=50K,training
31, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, White,40, >50K,training
44, Self-emp-not-inc, United-States, Married-civ-spouse,9, Machine-op-inspct, White,45, <=50K,training
27, ?, United-States, Married-civ-spouse,9, ?, White,40, >50K,training
61, Self-emp-not-inc, United-States, Married-civ-spouse,9, Other-service, Black,17, <=50K,training
33, Private, Canada, Married-civ-spouse,9, Exec-managerial, White,42, >50K,training
40, Private, United-States, Married-civ-spouse,9, Sales, White,30, <=50K,training
64, Local-gov, United-States, Married-civ-spouse,9, Adm-clerical, White,35, <=50K,evaluation
29, Private, Mexico, Married-civ-spouse,9, Handlers-cleaners, White,40, >50K,training
37, Self-emp-not-inc, United-States, Married-civ-spouse,9, Prof-specialty, White,35, >50K,evaluation
25, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,training
28, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, White,40, <=50K,evaluation
51, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,training
47, Self-emp-not-inc, Iran, Married-civ-spouse,9, Adm-clerical, White,35, <=50K,training
52, Local-gov, United-States, Married-civ-spouse,9, Other-service, Black,20, <=50K,training
39, Private, United-States, Married-civ-spouse,9, Other-service, White,40, <=50K,training
43, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
48, Private, Germany, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
25, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,training
38, Local-gov, United-States, Married-civ-spouse,9, Adm-clerical, White,35, >50K,evaluation
63, Private, United-States, Married-civ-spouse,9, Sales, White,35, <=50K,evaluation
34, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,20, <=50K,training
24, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, White,40, <=50K,training
25, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,50, >50K,training
24, Private, United-States, Married-civ-spouse,9, Other-service, White,25, <=50K,training
46, Self-emp-not-inc, United-States, Married-civ-spouse,9, Exec-managerial, White,50, <=50K,evaluation
31, Private, ?, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
49, Private, United-States, Married-civ-spouse,9, Machine-op-inspct, White,40, <=50K,training
64, ?, United-States, Married-civ-spouse,9, ?, White,20, <=50K,training
32, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,20, <=50K,training
59, Private, Jamaica, Married-civ-spouse,9, Prof-specialty, Black,38, <=50K,training
40, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,46, >50K,training
30, State-gov, United-States, Married-civ-spouse,9, Other-service, White,72, <=50K,training
56, Private, United-States, Married-civ-spouse,9, Sales, White,50, <=50K,training
32, Private, United-States, Married-civ-spouse,9, Tech-support, White,36, <=50K,training
46, State-gov, United-States, Married-civ-spouse,9, Other-service, Black,40, <=50K,training
35, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,35, >50K,training
43, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, >50K,training
54, Private, United-States, Married-civ-spouse,9, Adm-clerical, White,40, <=50K,training
38, Private, United-States, Married-civ-spouse,9, Exec-managerial, White,60, >50K,training
36, Local-gov, United-States, Married-civ-spouse,9, Other-service, White,35, <=50K,training
